S.No;Dataset ID;Source repository;DOI;Publication;Experiment type;Fragmentation;Instrument;Sample type;Disease conditon;Disease type;Dataset size (Gbs)
1;MSV000080527;Massive;http://dx.doi.org/10.1016/j.immuni.2017.02.007;Mass Spectrometry Profiling of HLA-Associated Peptidomes in Mono-allelic Cells Enables More Accurate Epitope Prediction;;;Q-Exac;Monoallelic B  (B721.221) cells;;;85
2;MSV000092456;Massive;https://doi.org/10.1038/s41467-024-48322-0;Fragment ion intensity prediction improves the identification rate of non-tryptic peptides in timsTOF;"Synthetic non-tryptic peptides; HLA class 1&2 ligands";;timsTOF;;;;52
3;MSV000092461;Massive;https://doi.org/10.1038/s41467-024-48322-0;Fragment ion intensity prediction improves the identification rate of non-tryptic peptides in timsTOF;;;"Orbitrap; timsTOF";Multi-tissue benign tumors;;;4
4;MSV000093954;Massive;https://doi.org/10.1038/s41467-024-48322-0;Fragment ion intensity prediction improves the identification rate of non-tryptic peptides in timsTOF;Multi-protease;;timsTOF;Blood plasma;;;1
5;PXD038782;Pride;https://doi.org/10.1038/s41467-023-42692-7;TOFIMSÊmass spectrometry-based immunopeptidomics refines tumor antigen identification;;;"Orbitrap; timsTOF";"Multi-tissue benign tumors; monoallelic B cell line";;;
6;PXD025671;Pride;https://doi.org/10.1021/acs.jproteome.1c00357;Toward Comprehensive Plasma Proteomics by Orthogonal Protease Digestion;Multi-protease;;timsTOF;Blood plasma;Pulmonary tuberculosis;;
7;PXD021013;Pride;https://doi.org/10.1038/s41467-021-23713-9;Deep learning boosts sensitivity of mass spectrometry-based immunopeptidomics;"Synthetic non-tryptic peptides; HLA class 1&2 ligands";;Orbitrap;;;;
8;MSV000091456;Massive;https://doi.org/10.1016/j.mcpro.2023.100563;Sensitive, High-Throughput HLA-I and HLA-II Immunopeptidomics Using Parallel Accumulation-Serial Fragmentation Mass Spectrometry;;;"Orbitrap; timsTOF";Tumor cell lines and primary melanoma samples;;;404
9;MSV000082648;Massive;https://doi.org/10.1038/nbt.4313;Deep learning using tumor HLA peptide mass spectrometry datasets improves neoantigen identification;;;Orbitrap;Tumor and normal tissue samples;;;166
10;MSV000084442;Massive;https://doi.org/10.1038/s41587-019-0322-9;A large peptidome dataset improves HLA class I epitope prediction across most of the human population;;;"Orbitrap; Q-Exac";"Patient derived tumor cell lines; primary tumor samples";;;41
11;MSV000084172;Massive;https://doi.org/10.1038/s41587-019-0322-9;A large peptidome dataset improves HLA class I epitope prediction across most of the human population;;;"Orbitrap; Q-Exac";Monoallelic B cells;;;372
12;MSV000084787;Massive;https://doi.org/10.1038/s41587-021-01021-3;Unannotated proteins expand the MHC-I-restricted immunopeptidome in cancer;;;"Orbitrap; Q-Exac";Glioblastoma and melanoma patient derived cell lines;;;46
13;MSV000087743;Massive;https://doi.org/10.1016/j.mcpro.2021.100133;Optimized Liquid and Gas Phase Fractionation Increases HLA-Peptidome Coverage for Primary Cell and Tissue Samples;;;Orbitrap;"Monoallelic cell lines; primary tumors, patient derived cancer cell lines";;;76
14;PXD044810;Pride;https://doi.org/10.1126/sciadv.adj6367;Accurate prediction of HLA class II antigen presentation across all loci using tailored data acquisition and refined machine learning;;;TripleTOF;Monoallelic B cells;;;
15;PXD004894;Pride;https://doi.org/10.1038/ncomms13404;Direct identification of clinically relevant neoepitopes presented on native human melanoma tissue by mass spectrometry;;;Q-Exac;Melanoma tissue samples;;;
16;PXD022950;Pride;https://doi.org/10.1016/j.mcpro.2021.100080;Sensitive Immunopeptidomics by Leveraging Available Large-Scale Multi-HLA Spectral Libraries, Data-Independent Acquisition, and MS/MS Prediction;DIA immunopeptidomics;;Q-Exac;B cell lines;;;
17;MSV000089225Ê;Massive;https://doi.org/10.1016/j.immuni.2023.05.009;HLA-II immunopeptidome profiling and deep learning reveal features of antigenicity to inform antigen discovery;;;Orbitrap;Monoallelic cell lines, blood (healthy donors);;;120
18;MSV000083991;Massive;https://doi.org/10.1016/j.immuni.2019.08.012;Defining HLA-II ligand processing and binding rules with mass spectrometry enhances cancer epitope prediction;;;Orbitrap;Monoallelic B cells;;;236
19;PXD012308;Pride;https://doi.org/10.1038/s41587-019-0289-6;Robust prediction of HLA class II epitopes by deep motif deconvolution of immunopeptidomes;;;Q-Exac;Monoallelic B cells;;;
20;PXD034773;Pride;https://doi.org/10.1016/j.immuni.2023.03.009;Machine learning predictions of MHC-II specificities reveal alternative binding mode of class II epitopes;;;Q-Exac;"B cell lines; patient tumor samples";;;
21;PXD040860;Pride;https://doi.org/10.1038/s42003-023-04749-7;Machine learning reveals limited contribution of trans-only encoded variants to the HLA-DQ immunopeptidome;;;TripleTOF;Monoallelic B cells;;;
22;PXD013831;Pride;https://doi.org/10.1074/mcp.TIR119.001641;Mass Spectrometry Based Immunopeptidomics Leads to Robust Predictions of Phosphorylated HLA Class I Ligands;;;Q-Exac;Patient tissue samples;;;
23;PXD009531;Pride;https://doi.org/10.4049/jimmunol.1700938;Unveiling the Peptide Motifs of HLA-C and HLA-G from Naturally Presented Peptides and Generation of Binding Prediction Matrices;;;Orbitrap;Monoallelic B cells;;;
